,Unnamed: 0,play_id,game_id,shotgun,no_huddle,ydstogo,yardline_100,play_type,half_seconds_remaining,down,pass_length,pass_length.1,run_location,score_differential,fg_prob,td_prob,ep,third_down_converted
4233,31482,1010,2012120203,0,0,2,72.0,pass,814.0,3.0,,,,0.0,0.16958486353476918,0.3400471252635688,0.6489647200857847,0.0
4234,22408,351,2014121400,1,0,2,72.0,pass,1369.0,3.0,short,short,,-3.0,0.17729729748081682,0.3500033146044325,0.515868340010722,1.0
4235,37915,3784,2010091904,0,0,2,2.0,pass,63.0,3.0,short,short,,-16.0,0.3680729980179822,0.4549282766799642,4.2109499690753145,1.0
4236,40090,4217,2010111411,1,0,2,33.0,pass,190.0,3.0,deep,deep,,-18.0,0.3004398824553118,0.33548985440110946,2.6791603169450253,1.0
4237,31973,858,2012121605,1,0,3,78.0,pass,1039.0,3.0,short,short,,0.0,0.14964079643927125,0.29733893540665746,-0.2320580176050773,1.0
4238,14095,503,2015091312,0,0,3,3.0,pass,1180.0,3.0,short,short,,0.0,0.3860201623177134,0.5679351875778388,4.927511778258414,0.0
4239,13471,1031,2016122411,0,0,1,63.0,pass,714.0,3.0,deep,deep,,0.0,0.19977309618562247,0.4115324012408961,1.8545762558117216,0.0
4240,3559,1209,2018120913,1,0,3,26.0,pass,492.0,3.0,short,short,,0.0,0.4238990006282977,0.3828317134946564,3.3466273649040645,0.0
4241,9937,2717,2016092509,1,0,3,59.0,pass,1320.0,3.0,short,short,,3.0,0.25485637243714004,0.3745354668249472,1.4559486563105597,1.0
4242,31783,584,2012120904,1,0,3,63.0,pass,1011.0,3.0,short,short,,0.0,0.2284067058543041,0.3601962407454568,1.167972276106209,0.0
4243,17413,1718,2015121310,1,0,3,74.0,pass,187.0,3.0,short,short,,7.0,0.093287370258553,0.17847562752830684,0.2177033735680758,1.0
4244,12899,1439,2016121111,1,0,2,53.0,pass,243.0,3.0,short,short,,-18.0,0.1950414587763664,0.29626878405945073,1.6821414460594353,1.0
4245,45443,2542,2009120613,1,0,2,56.0,pass,1378.0,3.0,short,short,,-8.0,0.2650556167240452,0.4084785309974692,1.949270570224038,1.0
4246,18458,731,2016010313,1,0,1,42.0,pass,1195.0,3.0,short,short,,4.0,0.3250108176163719,0.4774062437457081,3.31229987741414,0.0
4247,12809,241,2016121103,1,0,2,34.0,pass,1448.0,3.0,,,,0.0,0.3961752577386231,0.43366154120538986,3.3361085570801747,0.0
4248,45134,3272,2009112600,1,0,1,1.0,pass,613.0,3.0,short,short,,-20.0,0.19842720494654706,0.7471290087058968,5.647333112175223,0.0
4249,14098,1486,2015091312,1,0,3,14.0,pass,342.0,3.0,short,short,,0.0,0.4756618392159389,0.3583487660024626,3.560625945679351,0.0
4250,40383,3539,2010112113,1,0,1,50.0,pass,278.0,3.0,short,short,,-1.0,0.2083235416898581,0.3553432663958633,2.2428577626317363,0.0
4251,41665,4058,2010122601,1,0,3,18.0,pass,322.0,3.0,deep,deep,,-31.0,0.4464661922288223,0.3580119609673663,3.4194323164449827,0.0
4252,5595,3064,2017100113,1,0,2,67.0,pass,1138.0,3.0,short,short,,-1.0,0.2022846545721002,0.3720356432268235,1.0477563043693003,1.0
4253,23341,569,2013090800,1,1,2,72.0,pass,1492.0,3.0,short,short,,-7.0,0.17715169780153986,0.3485076591227028,0.4786148209681082,1.0
4254,36886,1336,2011121900,1,0,2,50.0,pass,386.0,3.0,short,short,,-6.0,0.24405545626299244,0.3524985469078031,2.127800086795905,1.0
4255,14483,1009,2015092708,0,0,2,80.0,pass,810.0,3.0,short,short,,3.0,0.1329307452600469,0.30167565190001605,-0.07282970994391791,0.0
4256,39914,468,2010111403,0,0,3,52.0,pass,1345.0,3.0,short,short,,-3.0,0.29791895751290776,0.3926362722313545,2.0283868465018324,1.0
4257,39515,1949,2010103107,1,0,1,74.0,pass,29.0,3.0,short,short,,-5.0,0.08034081037971894,0.11625103311746088,0.6830560760812212,1.0
4258,2673,3829,2018111810,1,0,1,17.0,pass,185.0,3.0,short,short,,-10.0,0.38016664848940457,0.3903464867273874,3.552933566315998,1.0
4259,13520,4175,2016122501,0,0,2,2.0,pass,115.0,3.0,short,short,,17.0,0.3795513659280656,0.4684293550537967,4.337103055111526,1.0
4260,44879,3133,2009112207,1,0,1,54.0,pass,861.0,3.0,deep,deep,,7.0,0.2533319126657092,0.4522019885803303,2.571612862523644,1.0
4261,8745,3879,2017122405,1,0,3,68.0,pass,189.0,3.0,deep,deep,,-17.0,0.11557102070212948,0.2015093195637994,0.5409352832509873,0.0
4262,46710,1340,2010010305,0,0,1,1.0,pass,297.0,3.0,short,short,,-3.0,0.1906760099099832,0.7243557151787936,5.476617551373034,0.0
4263,28430,1505,2012091607,0,0,3,51.0,pass,550.0,3.0,short,short,,10.0,0.2723651279500821,0.3614467037623077,2.041756070132488,1.0
4264,12458,1567,2016120405,1,0,3,44.0,pass,192.0,3.0,short,short,,4.0,0.2395070884790159,0.2881284483445192,1.943254427024048,0.0
4265,6913,2371,2017111201,1,0,1,6.0,pass,1528.0,3.0,short,short,,4.0,0.5145855676005985,0.42920626551738417,4.259614160477248,0.0
