,ydstogo,yardline_100,play_type,half_seconds_remaining,score_differential,fg_prob,td_prob
38347,3,55.0,2,729.0,7.0,0.2647858391287677,0.3719265143422244
38348,2,33.0,2,602.0,7.0,0.3783747961097616,0.4176470871486845
38351,3,3.0,2,1277.0,10.0,0.3867127782643821,0.5674034758582345
38356,4,66.0,2,456.0,24.0,0.1763441358979206,0.2764910596549172
38360,8,74.0,2,1720.0,0.0,0.17578936239416096,0.2556581141633101
38361,2,54.0,2,1592.0,0.0,0.2767206139410192,0.4109890232492781
38364,1,78.0,1,868.0,3.0,0.13805989777335514,0.357080664244084
38365,6,21.0,2,575.0,-10.0,0.4911389267249987,0.3478910338745597
38368,1,57.0,1,63.0,0.0,0.1596569610010035,0.17745609457463304
38369,3,28.0,2,1637.0,3.0,0.4474268502396205,0.4035565353363281
38372,3,41.0,2,767.0,-10.0,0.3545896756612176,0.4007049984603873
38374,5,55.0,2,433.0,-3.0,0.2386097452417139,0.2996409313685962
38377,3,35.0,2,1120.0,0.0,0.4025439250623061,0.4104997783902639
38379,2,7.0,1,30.0,0.0,0.5176565740245231,0.2257952781303089
38385,5,55.0,2,652.0,-3.0,0.26811237320396675,0.3346213796403061
38386,10,42.0,2,601.0,-3.0,0.3663156967917301,0.3180601454506754
38390,2,72.0,2,1188.0,0.0,0.17684020550398538,0.3508834086076104
38391,3,35.0,2,1043.0,0.0,0.4013708570410363,0.4101912662862048
38394,1,8.0,2,564.0,-7.0,0.485800527570144,0.4294126015862169
38397,1,71.0,1,261.0,0.0,0.11042758238038028,0.26073184606372024
38407,12,43.0,2,1412.0,-7.0,0.3912758137870871,0.3230620980508781
38410,7,65.0,2,423.0,7.0,0.18178515121771072,0.2462118291434547
38411,4,57.0,2,253.0,-14.0,0.18466114775260115,0.2533658381038122
38412,21,21.0,2,14.0,-14.0,0.5967836435711729,0.12841310523010893
38413,2,61.0,1,1691.0,-13.0,0.2357550395185045,0.3890806354467493
38414,2,47.0,2,1608.0,-13.0,0.3185677047399343,0.4244194326174821
38417,6,70.0,1,1109.0,-10.0,0.1971911015969386,0.29349356674386856
38421,6,67.0,1,599.0,-1.0,0.192393236970008,0.277325908485847
38422,7,57.0,2,491.0,-1.0,0.2407236484271535,0.2875573023619083
38427,2,63.0,1,1094.0,-13.0,0.2235131275268396,0.38690590479032455
38428,5,8.0,2,795.0,-13.0,0.5721356637138251,0.3438896785478639
38434,5,60.0,1,1668.0,3.0,0.2560911255418712,0.3355731905560196
38435,5,49.0,1,1552.0,3.0,0.3287883909020288,0.3646448281500786
38440,10,92.0,2,578.0,0.0,0.08156178915316056,0.15350888661343792
38441,8,77.0,2,498.0,0.0,0.13239830787190554,0.20874915220753248
38442,15,97.0,2,187.0,0.0,0.03989338123613519,0.07454362728283767
38443,2,31.0,2,43.0,0.0,0.3329760766636448,0.21041129815397885
38445,1,82.0,1,1572.0,0.0,0.1265208098592619,0.3412832562427064
38447,2,64.0,2,819.0,-7.0,0.2110041102663288,0.3738246350675258
38448,5,54.0,2,572.0,0.0,0.26596379428595696,0.3275840073900543
38450,2,44.0,1,189.0,0.0,0.23139721856721185,0.30630127283861897
38456,2,85.0,2,734.0,-1.0,0.11003621291366557,0.27036493102898324
38457,6,25.0,2,410.0,-1.0,0.4420714709159305,0.33466060502144257
38458,2,64.0,1,166.0,-2.0,0.1239249408907916,0.2236223679720971
38462,10,15.0,2,1254.0,0.0,0.5708473411832277,0.32056028027941263
38463,1,63.0,1,1103.0,-7.0,0.21198061644533284,0.4319263393103799
38466,14,63.0,2,727.0,-4.0,0.23578265677504354,0.2607341264747018
38469,1,61.0,2,120.0,-4.0,0.120018037660483,0.24374944015895125
38472,10,21.0,2,1548.0,7.0,0.5360220931850411,0.3275406754515864
38474,1,61.0,2,1094.0,14.0,0.22204818070572185,0.4387753842106021
38481,2,5.0,2,1451.0,0.0,0.5533272269279998,0.3868084759033612
38482,1,54.0,1,1265.0,-7.0,0.26027096396703264,0.4593370677919894
38484,1,1.0,1,824.0,0.0,0.2007494862722526,0.7513987224314521
38485,4,51.0,2,646.0,-7.0,0.2889386369455081,0.35734715751195595
38489,2,26.0,1,900.0,-7.0,0.43581437521229627,0.4281023706289193
38491,4,51.0,2,360.0,0.0,0.2452859443979601,0.3058103873986726
38492,1,14.0,1,257.0,0.0,0.4149661149327882,0.4059442098150979
38493,1,1.0,2,52.0,-7.0,0.2575512848321471,0.5726375084781246
38494,2,69.0,2,33.0,0.0,0.1015570662548623,0.1155126340293696
38495,6,28.0,2,1423.0,-7.0,0.4731059153434036,0.364615024477265
38498,8,11.0,2,927.0,0.0,0.5799050724353827,0.32562449584404285
38499,2,13.0,2,416.0,-7.0,0.4762817931646111,0.3879174509516384
38502,1,27.0,1,1247.0,7.0,0.4066296622796688,0.4729773088788352
38504,8,50.0,2,814.0,-17.0,0.32208972468400626,0.33156846990948824
38505,5,30.0,2,458.0,-10.0,0.4104254754506784,0.3499337069869937
38509,6,37.0,1,91.0,7.0,0.33421847718465103,0.17863968236789415
38514,15,73.0,2,786.0,11.0,0.17787811129025374,0.2255125802938722
38516,1,35.0,1,263.0,-14.0,0.2896280510401,0.3919404246980697
38518,9,75.0,1,1513.0,11.0,0.17191842035959765,0.2484173093164753
38519,7,38.0,2,1183.0,-11.0,0.4112838983344339,0.3591870756262679
38524,4,78.0,1,233.0,5.0,0.0889464976697305,0.16894479418870847
38526,1,65.0,2,30.0,-5.0,0.11196522908641092,0.1409624393611418
38528,5,60.0,2,1675.0,0.0,0.2560582112961068,0.3354639814630718
38529,2,53.0,2,1273.0,0.0,0.2823600804542712,0.4166543096507424
38530,8,66.0,2,1133.0,-7.0,0.22395067087654816,0.29260278216842395
