,shotgun,no_huddle,ydstogo,yardline_100,half_seconds_remaining,pass_length,score_differential,fg_prob,td_prob,ep,third_down_converted
31846,1,0,9,61.0,975.0,2,-49.0,0.25495552763011936,0.3012303717522649,0.67587810768276,1.0
31847,1,0,20,70.0,695.0,1,49.0,0.1917588676241089,0.21743930272201195,-0.5089732953445436,0.0
31848,1,0,18,75.0,380.0,2,-49.0,0.1295473659070506,0.16413902512472694,-0.6256589644745776,0.0
31849,0,0,6,30.0,166.0,2,49.0,0.34027989771376016,0.2802213518681926,2.387288399226814,1.0
31850,1,0,11,81.0,120.0,2,-56.0,0.06567520776242865,0.10328478277411524,-0.469550318798556,1.0
31852,1,0,3,37.0,1719.0,1,0.0,0.392307527611074,0.4057281315976993,2.94936646654022,0.0
31853,1,0,4,82.0,1666.0,1,0.0,0.13310356780108068,0.2583162150246104,-1.0069193997706822,0.0
31854,1,0,6,29.0,1494.0,2,0.0,0.4668851982440763,0.3646976150090779,3.072512463942604,0.0
31855,1,0,3,66.0,1389.0,2,-1.0,0.21390485008371776,0.3496025559643939,0.8033442929423433,1.0
31856,1,0,20,65.0,949.0,2,8.0,0.2353807990106315,0.2452892967674844,-0.15038390280169134,0.0
31858,1,0,6,14.0,595.0,2,-8.0,0.535712359993509,0.34035056052533136,3.5394425509570784,0.0
31860,1,0,8,18.0,1741.0,2,9.0,0.5458250387419374,0.33378467321519395,3.3436781293268467,1.0
31861,1,0,4,82.0,1602.0,2,-16.0,0.13338498989275402,0.2593289479354306,-0.9866473825542346,0.0
31862,0,0,2,28.0,1437.0,2,16.0,0.4309672675146551,0.4300875033344815,3.581041634978935,1.0
31863,1,0,5,72.0,1296.0,1,16.0,0.18536253592203347,0.29548220396740804,-0.07898990376944902,1.0
31865,1,0,7,76.0,568.0,2,-19.0,0.14347706008703784,0.22941285464973002,-0.3835273985746572,0.0
31866,1,0,20,45.0,384.0,2,19.0,0.3199668224803733,0.2486748658142709,1.4361484824021855,0.0
31867,1,0,19,94.0,334.0,1,-19.0,0.058776356906660325,0.09876124702375333,-1.5913851333192168,0.0
31868,1,1,5,37.0,94.0,1,-26.0,0.3323961262807112,0.18544771663389115,2.0149792372422093,0.0
31869,1,0,4,74.0,1722.0,2,0.0,0.1717335221798842,0.2940484005059103,-0.2590794289560403,1.0
31872,1,0,2,41.0,932.0,2,7.0,0.3488572721865373,0.43173417587359664,3.0242530394519567,1.0
31873,1,0,6,31.0,662.0,2,-14.0,0.4342741269737486,0.3581641499475601,2.97508843104334,0.0
