,shotgun,no_huddle,ydstogo,yardline_100,play_type,half_seconds_remaining,down,score_differential,fg_prob,td_prob,ep,third_down_converted
1014,1,0,2,2.0,pass,310.0,3.0,0.0,0.292053001130554,0.6167170739561404,5.017956964748281,0.0
1015,1,0,13,41.0,pass,172.0,3.0,-18.0,0.2776281163747692,0.2258399256270979,1.5491689735770564,0.0
1016,0,0,2,43.0,pass,950.0,3.0,4.0,0.3374073007289575,0.4304588561373931,2.9110938336700016,0.0
1017,1,0,10,80.0,pass,64.0,3.0,-7.0,0.07881768257147488,0.0726686205870692,0.1866819333694658,0.0
1018,1,0,2,18.0,pass,1280.0,3.0,12.0,0.4856682414721622,0.4170886283558725,3.881586051093005,0.0
1019,1,0,2,55.0,pass,992.0,3.0,4.0,0.2672844942098631,0.4100233461604408,2.0912997731819183,0.0
1020,1,0,10,79.0,pass,125.0,3.0,-7.0,0.07158336002209761,0.11161159126504493,-0.3718657695247693,0.0
1021,1,0,10,41.0,pass,1467.0,3.0,0.0,0.4012171746928183,0.33476239565582383,2.1582645593257967,0.0
1022,1,0,12,34.0,pass,1028.0,3.0,-1.0,0.4528292171396489,0.3288529055448664,2.575781998029792,0.0
1023,1,0,4,78.0,pass,519.0,3.0,3.0,0.1268640259193207,0.23903395269718805,-0.2158792680338681,1.0
1024,1,0,7,51.0,pass,1422.0,3.0,-6.0,0.3225415789354553,0.3420812676795225,1.5990525781050238,1.0
1025,1,0,8,78.0,pass,1732.0,3.0,0.0,0.15437277455948906,0.2387525520350816,-1.0870106555805277,0.0
1026,1,0,9,97.0,pass,641.0,3.0,10.0,0.06951697955819028,0.1446502758907793,-2.0908779810582923,0.0
1027,1,0,5,48.0,pass,525.0,3.0,-11.0,0.29893928470101944,0.33602535795296834,1.9742124235963905,0.0
1028,1,0,2,72.0,pass,323.0,3.0,-5.0,0.12181741167827465,0.24766309892875416,0.5616783744603502,0.0
1029,1,0,3,62.0,pass,238.0,3.0,0.0,0.1525065482787282,0.2420195617120225,0.9446027012016838,1.0
1030,1,1,4,73.0,pass,476.0,3.0,5.0,0.1443649922396866,0.2520793362117648,0.17713719097638458,0.0
1031,1,0,2,59.0,pass,275.0,3.0,27.0,0.17130815229782234,0.2852537721456081,1.36131623255793,0.0
1032,1,0,9,46.0,pass,1476.0,3.0,3.0,0.3629315950307693,0.33529215469726503,1.8456234816265145,0.0
1033,1,0,7,7.0,pass,1393.0,3.0,0.0,0.5468540859849298,0.4074295527297328,4.276795560833461,1.0
1034,1,1,10,54.0,pass,56.0,3.0,-14.0,0.19701472113008192,0.1215484576472541,1.04906862912508,0.0
1035,1,0,6,12.0,pass,1307.0,3.0,-10.0,0.5669005644087953,0.3422730674834697,3.6342849846997898,1.0
1036,1,0,9,74.0,pass,1745.0,3.0,0.0,0.1761985466498107,0.2490649031729449,-0.7838428695146606,0.0
1037,0,0,2,72.0,pass,519.0,3.0,-12.0,0.14859772972252006,0.3004478025389605,0.6390935789920094,1.0
1038,1,0,9,71.0,pass,598.0,3.0,14.0,0.17329522983845513,0.24152950541921825,-0.12603496704557138,0.0
1039,1,0,3,73.0,pass,373.0,3.0,-1.0,0.12826400229446558,0.2403663864794488,0.3192415434534639,1.0
1040,1,0,5,20.0,pass,412.0,3.0,9.0,0.4693423745979907,0.34328983517660244,3.2984229259013924,1.0
1041,1,1,10,36.0,pass,473.0,3.0,-9.0,0.391185310217505,0.3106811862758887,2.3790604100042545,0.0
1042,1,0,15,15.0,pass,272.0,3.0,6.0,0.5986932257515298,0.2686417804167472,3.479557471194416,0.0
