,shotgun,no_huddle,ydstogo,yardline_100,half_seconds_remaining,run_location,score_differential,fg_prob,td_prob,ep,third_down_converted
19486,0,0,1,35.0,1237.0,1,7.0,0.3635605684452875,0.478689764663174,3.636585103084348,1.0
19491,1,0,9,79.0,588.0,2,-17.0,0.1322943170657,0.20871847356330334,-0.7648793139065722,0.0
19496,1,0,8,78.0,1721.0,3,-10.0,0.15443700464095567,0.2389258281353521,-1.0836410667564496,1.0
19499,1,0,14,50.0,159.0,3,24.0,0.21274496268945706,0.19552442815250767,0.9808602774193674,0.0
19504,1,0,7,65.0,996.0,1,0.0,0.2268814273325588,0.30237613979117683,0.4558227697521013,0.0
19513,0,0,1,71.0,1740.0,1,14.0,0.1737398081375157,0.3934982388035251,0.9878980058046,0.0
19516,0,0,1,71.0,1039.0,2,18.0,0.17233430143608364,0.3980899848896626,1.1775408671227647,1.0
19519,1,0,11,12.0,255.0,1,25.0,0.5184585205288783,0.2795224361953789,3.1151529271966987,0.0
19521,0,0,1,46.0,1621.0,2,0.0,0.3045143127181676,0.4701639436140157,3.016963890514074,1.0
19526,0,0,1,43.0,915.0,2,0.0,0.31474782070995977,0.4732480025214667,3.2623745678569764,1.0
19528,1,0,7,77.0,803.0,1,0.0,0.1535094777023181,0.2476355919052305,-0.5832668973052337,0.0
19537,1,0,2,72.0,858.0,1,-14.0,0.17120896175610772,0.3428789664416525,0.6429399982461437,1.0
19539,0,0,1,66.0,537.0,2,-14.0,0.17067768501974387,0.3701258340045251,1.5240664712615632,1.0
19553,1,0,2,54.0,1107.0,3,7.0,0.2750934711090789,0.4141861654901747,2.157571512934441,1.0
19554,1,0,5,39.0,1019.0,1,7.0,0.392139095235324,0.3782374012729993,2.6896110679312306,0.0
19563,0,0,1,55.0,1137.0,1,4.0,0.2539310554684932,0.4567725146626942,2.498100963542225,0.0
19574,0,1,1,54.0,593.0,2,-30.0,0.2365514944889688,0.4254447452708863,2.454772251963865,1.0
19576,1,0,1,59.0,348.0,2,23.0,0.17699612121565558,0.3462950340939632,1.8073199269595004,0.0
19580,0,0,1,59.0,1490.0,2,0.0,0.2342559176688137,0.4438314695256117,2.120309357543399,1.0
19583,0,0,1,74.0,771.0,1,-4.0,0.15150830492893327,0.3693716717481743,0.9327358178311174,1.0
19587,0,0,1,63.0,1491.0,1,-10.0,0.21357058389294176,0.4304410644807679,1.7858236277644053,1.0
19593,0,0,1,64.0,735.0,2,-16.0,0.1960756547315968,0.4099664639689525,1.7804839754078692,1.0
19594,0,0,3,31.0,205.0,1,16.0,0.32883501640512697,0.3234460486728551,2.6690818894625603,1.0
19595,0,0,8,25.0,120.0,3,16.0,0.3671118718816155,0.26182994524209235,2.4234655186440435,0.0
19596,1,1,1,70.0,1772.0,2,0.0,0.1783625819966787,0.39741287503964695,1.0722747623119286,1.0
19599,1,0,18,20.0,1160.0,2,-6.0,0.5619007207248872,0.2975967763035544,3.0591249173787998,0.0
19608,0,0,2,32.0,76.0,1,-8.0,0.34307658521883144,0.21996728261722331,2.353660477890949,0.0
19611,0,0,1,14.0,1484.0,2,-5.0,0.4751867122108924,0.4490806366394752,4.178412355121086,1.0
19618,1,0,13,34.0,561.0,3,5.0,0.4263911216793576,0.3078876389070304,2.4521200141033654,1.0
19619,1,0,8,16.0,442.0,1,5.0,0.5176465365334629,0.3183400412500753,3.3009748574662567,0.0
19622,1,0,9,79.0,1753.0,2,0.0,0.14952243890361172,0.2282916492219565,-1.257428571300775,0.0
19626,0,0,2,29.0,1224.0,1,-7.0,0.4240476051579781,0.4323587039814267,3.5673587929611985,1.0
19632,0,1,1,23.0,1582.0,2,10.0,0.4294169064230645,0.4651251270007153,3.9938039889467833,0.0
19638,1,0,2,2.0,699.0,1,-1.0,0.30645051022497705,0.6400754226226394,5.209213866296817,0.0
19639,1,0,8,16.0,120.0,1,10.0,0.4357053772202201,0.27038689947885536,2.807535794071023,0.0
19642,1,0,3,59.0,1264.0,2,-7.0,0.2546857603683044,0.37487495308189306,1.4691536039532354,1.0
19643,0,0,3,46.0,1175.0,3,-7.0,0.33458295660285786,0.4038201782676288,2.494769424541422,0.0
19644,0,0,1,80.0,1035.0,3,7.0,0.13317563858798187,0.35359926246622864,0.3380495714945129,1.0
19645,0,0,1,79.0,806.0,2,-7.0,0.13202119181133004,0.34738759184676704,0.4821073699224836,1.0
19649,0,0,1,46.0,82.0,1,17.0,0.2317531913192579,0.21719007170618976,1.9396289028704925,1.0
19651,1,0,5,49.0,1362.0,2,21.0,0.3288988651809522,0.3667226357720773,1.9622785412197628,1.0
19652,0,0,1,40.0,1116.0,3,-28.0,0.3351033214282162,0.4783060715841812,3.4198157891409124,1.0
19654,1,0,6,76.0,728.0,2,21.0,0.15420463395473732,0.2545363869247161,-0.3714431673190344,0.0
19658,1,0,18,54.0,1507.0,3,0.0,0.316574277252275,0.2808588745828112,0.7839785300609636,0.0
19659,0,0,2,35.0,1249.0,3,0.0,0.38936671453794697,0.4352796456292655,3.3160246706145555,1.0
