,shotgun,no_huddle,ydstogo,yardline_100,play_type,half_seconds_remaining,pass_length,run_location,score_differential,fg_prob,td_prob,ep
25882,0,0,1,9.0,2,46.0,2.0,,-13.0,0.4871516665541253,0.2579238313867432,3.1707326321744085
25883,0,0,1,71.0,1,1446.0,,2.0,-13.0,0.17440421369876044,0.398284169766616,1.0766129486091047
25884,0,0,4,23.0,2,1342.0,2.0,,-13.0,0.4876943432599348,0.3836442928073895,3.48552669720066
25889,0,0,2,74.0,2,122.0,2.0,,-8.0,0.08012082209389734,0.16895925601129225,0.3299347772300446
25890,1,0,10,66.0,2,104.0,2.0,,-8.0,0.14793534629048274,0.1097253706968374,0.6810091110803512
25891,1,0,10,52.0,2,67.0,1.0,,-8.0,0.21539056816158084,0.12879961308028165,1.1576822612504991
25892,1,0,5,14.0,2,44.0,2.0,,-8.0,0.4964849587125986,0.19438157745750784,2.7134432120165517
25893,1,0,2,72.0,1,1744.0,,1.0,0.0,0.17628235456754726,0.3443471280781967,0.4002216654392461
25894,1,0,5,59.0,2,1609.0,2.0,,0.0,0.2627424691751262,0.3395703266773309,1.0579623578111368
25899,0,0,1,52.0,1,811.0,,2.0,-3.0,0.26202165801683264,0.4541112545553847,2.699247504225378
25901,0,0,3,43.0,1,234.0,,1.0,0.0,0.2582980792250953,0.30560571732480857,2.096857742912485
25902,1,0,4,29.0,2,154.0,1.0,,0.0,0.3331827836301987,0.29734875110733644,2.539447929099484
25903,1,0,6,68.0,2,1755.0,2.0,,-7.0,0.20821781332588798,0.2950575242317148,0.048530458912732666
25905,1,0,3,73.0,2,1502.0,1.0,,7.0,0.1756982784566994,0.31896300749194195,0.10014344570822732
25911,1,0,4,83.0,2,760.0,2.0,,14.0,0.12185630301493995,0.2463742605270707,-0.748901924601558
25922,1,0,3,5.0,2,463.0,2.0,,-4.0,0.5448778374706271,0.35595901192856033,3.8454273730550517
25924,1,0,11,88.0,2,120.0,2.0,,3.0,0.04960058451813997,0.08692032857124357,-0.7153471207192285
25925,1,1,4,74.0,1,39.0,,3.0,-3.0,0.0887328952506222,0.0925935383285649,0.4701401644443579
25926,0,0,2,62.0,1,1655.0,,1.0,3.0,0.23021234866356816,0.38624369157687866,1.3645192826220571
25931,1,0,5,49.0,2,787.0,2.0,,1.0,0.3173476846970218,0.3596143820697724,2.0140484538868213
25932,1,0,1,25.0,2,664.0,2.0,,1.0,0.4021965162158509,0.4610788577260558,3.913157022999041
25936,0,0,5,29.0,1,138.0,,1.0,4.0,0.33286481709067456,0.2819781469136399,2.425094462896481
25940,1,0,3,45.0,2,1223.0,2.0,,6.0,0.3412630549342084,0.4050164719129379,2.554822666439759
25943,1,1,1,73.0,2,773.0,2.0,,-13.0,0.15596821184095888,0.3743902749937639,1.0210982143686214
25945,1,0,7,57.0,2,426.0,1.0,,19.0,0.22959921416119336,0.27477064106806376,1.0847184699388288
25946,1,0,4,63.0,1,120.0,,2.0,26.0,0.12224135514016242,0.18471465528724493,0.638269959338595
25948,0,0,5,40.0,2,1374.0,1.0,,33.0,0.3889192777495971,0.3771898658719873,2.5864611343953023
25953,0,0,2,61.0,1,1630.0,,1.0,0.0,0.23594912775300197,0.3900698779885903,1.4604998199180217
